code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,KDJ,BIGVOLUME
000715,中兴商业,百货,辽宁,120.75,27854.39,27900.59,215252.27,99980.38,70013.71,31671.8,1.14,0.112,4.15,4.34,19970508,0,0
603028,赛福天,钢加工,江苏,183.27,5520.0,22080.0,87517.55,46303.96,23265.92,19095.5,0.86,0.15,3.05,10.68,20160331,0,0
002723,金莱特,家用电器,广东,822.36,5565.75,18670.0,97700.25,38230.01,35769.57,22370.9,1.2,0.029,3.43,9.23,20140129,0,0
603716,塞力斯,医药商业,湖北,93.28,1274.0,5094.0,77416.15,59829.63,13797.23,18963.81,3.72,0.978,13.37,9.1,20161031,0,0
603556,海兴电力,电器仪表,浙江,38.53,9334.0,37334.0,292752.94,234531.22,26280.3,35653.23,0.95,0.97,6.81,7.31,20161110,0,0
300559,佳发安泰,软件服务,四川,97.4,1800.0,7180.0,32561.6,21873.02,1223.92,2081.01,0.29,0.556,5.2,13.88,20161101,0,0
601880,大连港,港口,辽宁,92.35,773582.0,1289453.63,3263012.0,1004080.88,1400629.25,292763.91,0.23,0.027,1.36,2.42,20101206,0,1
300563,神宇股份,通信设备,江苏,32.34,2000.0,8000.0,42160.0,22844.1,11837.33,3313.25,0.41,0.357,4.51,3.41,20161114,0,0
300023,宝德股份,专用机械,陕西,163.03,13115.87,31610.67,615837.38,221749.66,12364.32,58975.38,1.87,0.111,3.21,7.53,20091030,0,1
002575,群兴玩具,文教休闲,广东,338.28,58872.0,58872.0,93742.06,27040.64,38402.55,15371.74,0.26,0.034,1.55,9.84,20110422,0,0
